Quel est l'inventeur du téléphone ?;Alexander Graham Bell;Thomas Edison;Nikola Tesla;James Watt;1
Quel est le plus long fleuve d'Amérique du Sud ?;Fleuve Amazone;Fleuve Paraná;Fleuve Orénoque;Fleuve São Francisco;1
Qui a écrit "Le Petit Prince" ?;Antoine de Saint-Exupéry;Gustave Flaubert;Victor Hugo;Albert Camus;1
Quel est le métal le plus abondant dans l'écorce terrestre ?;Fer;Cuivre;Aluminium;Or;3
Quel est le plus grand mammifère terrestre ?;Éléphant d'Afrique;Rhinocéros blanc;Hippopotame;Girafe;1
Quel est le nombre de continents dans le monde ?;5;6;7;8;3
Quel est le plus grand lac d'eau douce au monde en superficie ?;Lac Baïkal;Lac Supérieur;Lac Victoria;Lac Michigan;1
Qui a écrit "Les Trois Mousquetaires" ?;Victor Hugo;Alexandre Dumas;Gustave Flaubert;Émile Zola;2
Quelle est la capitale du Japon ?;Pékin;Séoul;Tokyo;Hong Kong;3
Quel est l'océan le plus profond du monde ?;Océan Atlantique;Océan Pacifique;Océan Arctique;Océan Indien;2
Qui a peint "Les Demoiselles d'Avignon" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Édouard Manet;2
Quelle est la devise nationale des États-Unis ?;E Pluribus Unum;Liberté, Égalité, Fraternité;In God We Trust;Carpe Diem;3
Quelle est la plus grande île du monde ?;Groenland;Madagascar;Sumatra;Java;1
Quel est le plus grand océan en termes de superficie ?;Océan Atlantique;Océan Arctique;Océan Indien;Océan Pacifique;4
Quel est le seul pays à avoir été touché par une bombe atomique en temps de guerre ?;Allemagne;Japon;États-Unis;Russie;2
Qui a écrit "Orgueil et Préjugés" ?;Jane Austen;Charlotte Brontë;Emily Dickinson;Virginia Woolf;1
Quel est le métal le plus dense ?;Fer;Or;Platine;Uranium;2
Quel est le plus grand archipel au monde ?;Îles Fidji;Îles Salomon;Indonésie;Îles Maldives;3
Quelle est la capitale de l'Espagne ?;Madrid;Barcelone;Séville;Valence;1
Quel est le plus grand pays d'Europe ?;France;Allemagne;Royaume-Uni;Russie;4
Quelle est la date de la Révolution française ?;1789;1799;1804;1815;1
Qui a peint "La Guernica" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Salvador Dalí;2
Quelle est la capitale du Canada ?;Toronto;Montréal;Ottawa;Vancouver;3
Quel est le plus grand stade de football du monde ?;Camp Nou;Stade Azteca;Wembley Stadium;Stade Maracanã;4
Quel est le plus grand animal du monde ?;Baleine bleue;Éléphant d'Afrique;Requin baleine;Girafe;1
Qui a écrit "Crime et Châtiment" ?;Fiodor Dostoïevski;Léon Tolstoï;Anton Tchekhov;Ivan Tourgueniev;1
Quel est le plus grand lac d'Afrique ?;Lac Tanganyika;Lac Victoria;Lac Malawi;Lac Tchad;2
Quel est le symbole chimique du fer ?;Fe;I;Ir;Fr;1
Qui a écrit "Le Tour du monde en quatre-vingts jours" ?;Victor Hugo;Jules Verne;Gustave Flaubert;Émile Zola;2
Quelle est la capitale de l'Inde ?;Mumbai;New Delhi;Bangalore;Calcutta;2
Quel est le plus grand désert de glace au monde ?;Désert du Sahara;Désert de Gobi;Antarctique;Arctique;3
Qui a inventé l'ampoule électrique ?;Thomas Edison;Benjamin Franklin;Nikola Tesla;Alessandro Volta;1
Quel est le symbole chimique de l'oxygène ?;O;X;Ox;Og;1
Qui a peint "La Vénus de Milo" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Alexandre de Rhodes;4
Quelle est la capitale de l'Afrique du Sud ?;Le Cap;Johannesburg;Pretoria;Durban;1
Quel est le plus grand parc national du monde ?;Yellowstone;Parc national de Banff;Parc national de Kaziranga;Parc national de Wrangell-St. Elias;1
Quel est le plus grand lac en volume d'eau au monde ?;Lac Baïkal;Lac Supérieur;Lac Victoria;Lac Michigan;1
Qui a écrit "L'Odyssée" ?;Homère;Socrate;Aristote;Platon;1
Quelle est la devise de la France ?;Liberté, Égalité, Fraternité;In God We Trust;E Pluribus Unum;Carpe Diem;1
Quel est le plus grand océan en termes de profondeur ?;Océan Atlantique;Océan Pacifique;Océan Arctique;Océan Indien;2
Quelle est la planète la plus éloignée du Soleil ?;Vénus;Mercure;Mars;Neptune;4
Quel est l'inventeur de la théorie de la relativité ?;Isaac Newton;Galilée;Albert Einstein;Marie Curie;3
Quel est le plus grand animal terrestre carnivore ?;Tigre;Ours polaire;Lion;Hyène;2
Quelle est la capitale de l'Argentine ?;Buenos Aires;Mendoza;Cordoba;Rosario;1
Quel est le plus grand volcan actif du monde ?;Mauna Loa;Vésuve;Kilimandjaro;Mont Fuji;1
Qui a écrit "Les Fleurs du Mal" ?;Gustave Flaubert;Victor Hugo;Charles Baudelaire;Émile Zola;3
Quel est le plus grand lac d'Amérique du Nord ?;Lac Baïkal;Lac Supérieur;Lac Victoria;Lac Michigan;2
Quelle est la plus haute montagne d'Afrique ?;Mont Everest;Mont Kilimandjaro;Mont Fuji;Mont McKinley;2
Qui a découvert l'Amérique ?;Christophe Colomb;Marco Polo;Vasco de Gama;Ferdinand Magellan;1
Quel est le symbole chimique du sodium ?;So;Sd;Na;Sa;3
Quelle est la capitale de l'Australie ?;Sydney;Melbourne;Brisbane;Canberra;4
Quel est le plus grand canyon du monde ?;Grand Canyon;Canyon de Chelly;Canyon du Yellowstone;Canyon de Colca;1
Quel est le plus grand océan en termes de largeur ?;Océan Atlantique;Océan Pacifique;Océan Arctique;Océan Indien;2
Qui a peint "La Danse" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Henri Matisse;4
Quelle est la capitale de l'Italie ?;Milan;Venise;Rome;Florence;3
Quel est le plus grand oiseau du monde ?;Aigle royal;Autruche;Cygne;Condor;2
Qui a écrit "Les Misérables" ?;Gustave Flaubert;Émile Zola;Victor Hugo;Honoré de Balzac;3
Quel est le plus grand fleuve du monde ?;Fleuve Nil;Fleuve Congo;Fleuve Amazone;Fleuve Mississippi;3
Quelle est la capitale de l'Allemagne ?;Munich;Hambourg;Berlin;Francfort;3
Quel est le plus grand désert chaud du monde ?;Le Sahara;Le désert de Gobi;Le désert d'Atacama;Le désert du Kalahari;1
Quel est le plus grand continent du monde ?;Amérique;Asie;Afrique;Europe;2
Quelle est la date de la signature de la Déclaration d'Indépendance des États-Unis ?;4 juillet 1776;14 juillet 1789;25 décembre 1776;9 mai 1789;1
Quel est le plus grand lac salé du monde ?;Lac Assal;Mar Chiquita;Mer Morte;Grand Lac Salé;3
Quelle est la capitale du Brésil ?;Rio de Janeiro;São Paulo;Brasilia;Salvador;3
Quel est le plus grand carnivore marin ?;Orque;Requin blanc;Baleine;Morse;1
Quelle est la devise du Royaume-Uni ?;Liberté, Égalité, Fraternité;In God We Trust;Dieu et mon droit;E Pluribus Unum;3
Quel est le plus grand animal terrestre herbivore ?;Éléphant d'Afrique;Rhinocéros blanc;Hippopotame;Girafe;4
Quelle est la capitale de la Chine ?;Shanghai;Pékin;Canton;Shenzhen;2
Qui a peint "Les Nymphéas" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Henri Matisse;3
Quelle est la capitale de la Turquie ?;Istanbul;Ankara;Izmir;Bursa;2
Quel est le plus grand océan de la planète ?;Océan Atlantique;Océan Arctique;Océan Indien;Océan Pacifique;4
Qui a peint la Joconde ?;Vincent Van Gogh;Leonardo da Vinci;Pablo Picasso;Michel-Ange;2
Quelle est la capitale de la France ?;Berlin;Madrid;Paris;Londres;3
Quel est l'organe principal du système respiratoire humain ?;Le cœur;Les reins;Les poumons;Le foie;3
Qui a écrit "Le Petit Prince" ?;Antoine de Saint-Exupéry;Jules Verne;Victor Hugo;Gustave Flaubert;1
Quel est le plus haut sommet du monde ?;Mont Kilimandjaro;Mont Everest;Mont Blanc;Mont McKinley;2
Quel est le plus grand désert du monde ?;Désert de Gobi;Désert du Sahara;Désert d'Atacama;Désert du Kalahari;2
Quel est le symbole chimique du fer ?;Fe;Ir;Fr;Fl;1
Qui a découvert la pénicilline ?;Alexander Fleming;Marie Curie;Louis Pasteur;Isaac Newton;1
Quel est le pays le plus vaste au monde en superficie ?;Canada;Chine;Russie;États-Unis;3
Quel est le plus grand lac d'eau douce au monde ?;Lac Supérieur;Lac Baïkal;Lac Victoria;Lac Michigan;2
Quel est le principal gaz constituant de l'atmosphère terrestre ?;Azote;Oxygène;Dioxyde de carbone;Hydrogène;1
Quel est le plus long fleuve d'Europe ?;Fleuve Danube;Fleuve Volga;Fleuve Rhin;Fleuve Dniepr;2
Quel est l'inventeur de la machine à vapeur ?;James Watt;Thomas Edison;Nikola Tesla;Isaac Newton;1
Quel est le plus grand mammifère terrestre ?;Éléphant d'Afrique;Rhinocéros blanc;Girafe;Baleine bleue;1
Quel est le monument le plus visité au monde ?;La Tour Eiffel;Le Colisée de Rome;La Statue de la Liberté;La Grande Muraille de Chine;1
Le cap Horn est situé à l'extrémité de quel continent ?;L'Océanie; L'Amérique;L'Afrique;L'Asie;2
Quelle est la capitale de la France ?;Berlin;Londres;Paris;Madrid;3
Qui a écrit "Roméo et Juliette" ?;Charles Dickens;William Shakespeare;Jane Austen;Victor Hugo;2
Quel est le plus grand océan du monde ?;Océan Atlantique;Océan Pacifique;Océan Indien;Océan Arctique;2
Quelle est la planète la plus proche du soleil ?;Vénus;Terre;Mercure;Mars;3
Quelle est la célèbre pyramide située à Gizeh ?;Pyramide de Khéops;Pyramide de Djéser;Pyramide de Mykérinos;Pyramide de Snefrou;1
Qui a peint la Joconde ?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;Claude Monet;3
Quel est le plus grand mammifère terrestre ?;Éléphant;Rhinocéros;Girafe;Hippopotame;1
Quelle est la devise de l'Union européenne ?;Liberté, Égalité, Fraternité;In God We Trust;Unis dans la diversité;E pluribus unum;3
Quel est le pays le plus peuplé du monde ?;Inde;Chine;États-Unis;Brésil;2
Qui a découvert la pénicilline ?;Marie Curie;Alexander Fleming;Louis Pasteur;Antoine Lavoisier;2
Quel est le plus grand désert du monde ?;Désert du Sahara;Désert de Gobi;Désert d'Atacama;Désert d'Arabie;1
Quel est le livre religieux sacré pour les musulmans ?;La Bible;Le Coran;La Torah;Les Vedas;2
Quel est le plus haut sommet du monde ?;Mont Everest;Mont McKinley;Mont Kilimandjaro;Mont Fuji;1
En quelle année l'homme a-t-il marché sur la lune pour la première fois ?;1965;1969;1973;1977;2
Qui a écrit "Hamlet" ?;Charles Dickens;William Shakespeare;Jane Austen;Victor Hugo;2
Quelle est la plus grande île du monde ?;Groenland;Australie;Borneo;Île de Pâques;1
Quel est le plus grand lac d'Amérique du Nord ?;Lac Supérieur;Lac Michigan;Lac Baïkal;Lac Victoria;1
Quelle est la monnaie officielle du Japon ?;Won;Yuan;Yen;Ringgit;3
Qui a écrit "L'Odyssée" ?;Hérodote;Homère;Socrate;Platon;2
Quel est le plus grand animal terrestre ?;Éléphant;Rhinocéros;Girafe;Hippopotame;3
Quel est le deuxième plus grand continent du monde ?;Asie;Europe;Afrique;Amérique du Nord;3
Quelle est la date de la Déclaration d'Indépendance des États-Unis ?;4 juillet 1776;14 juillet 1789;5 mai 1818;9 septembre 1754;1
Qui a peint "Les Nymphéas" ?;Claude Monet;Pablo Picasso;Vincent van Gogh;Édouard Manet;1
Quelle est la capitale de l'Australie ?;Sydney;Melbourne;Canberra;Brisbane;3
Quel est le plus grand État des États-Unis en termes de superficie ?;Texas;Alaska;Californie;Floride;2
Qui a écrit "1984" ?;Aldous Huxley;George Orwell;Ray Bradbury;J.K. Rowling;2
Quel est le plus grand récif corallien au monde ?;Récif de la mer Rouge;Grande Barrière de Corail;Récif de Tubbataha;Récif de Belize;2
Quel est le plus grand mammifère marin ?;Baleine bleue;Orque;Requin baleine;Dauphin;1
Qui a découvert l'Amérique ?;Marco Polo;Christophe Colomb;Ferdinand Magellan;Vasco de Gama;2
Quel est le plus grand lac d'Afrique ?;Lac Tanganyika;Lac Victoria;Lac Malawi;Lac Turkana;2
Qui a écrit "Le Petit Prince" ?;Antoine de Saint-Exupéry;Victor Hugo;Jules Verne;Gustave Flaubert;1
Quel est le plus grand désert froid du monde ?;Désert de Gobi;Désert du Sahara;Antarctique;Désert du Taklamakan;3
En quelle année a eu lieu la Révolution russe ?;1905;1917;1923;1932;2
Quelle est la plus longue rivière du monde ?;Niger;Mississippi;Amazone;Nil;3
Qui a sculpté le David de Michel-Ange ?;Leonardo da Vinci;Raphael;Michel-Ange;Donatello;3
Quel est le plus grand musée du monde ?;Le Louvre;Le British Museum;Le Metropolitan Museum of Art;Le Musée du Vatican;1
Qui était le président des États-Unis pendant la Guerre civile américaine ?;Thomas Jefferson;Abraham Lincoln;Andrew Jackson;Ulysses S. Grant;2
Quelle est la plus haute montagne d'Afrique ?;Mont Elbrouz;Mont Kenya;Mont Kilimandjaro;Mont Ruapehu;3
En quelle année a eu lieu la Première Guerre mondiale ?;1914;1917;1921;1930;1
Quel est le plus grand océan de la planète en superficie ?;Océan Atlantique;Océan Pacifique;Océan Indien;Océan Arctique;2
Qui a écrit "Orgueil et Préjugés" ?;Charlotte Brontë;Jane Austen;Emily Brontë;Charles Dickens;2
Quelle est la devise de la République française ?;Liberté, Égalité, Fraternité;Honneur et Patrie;Dieu et mon droit;Ordre et Progrès;1
Quel est le pays le plus grand d'Amérique du Sud ?;Brésil;Argentine;Chili;Colombie;1
Quelle est la langue la plus parlée dans le monde ?;Anglais;Espagnol;Mandarin;Hindi;3
Quel est le plus grand désert du monde en termes de superficie ?;Désert du Sahara;Désert de Gobi;Antarctique;Désert d'Arabie;1
Qui a écrit "Le Comte de Monte-Cristo" ?;Alexandre Dumas;Victor Hugo;Gustave Flaubert;Jules Verne;1
Quel est le plus grand lac du monde en termes de volume ?;Lac Baïkal;Lac Supérieur;Lac Victoria;Lac Michigan;1
Quel est le plus grand canyon du monde ?;Grand Canyon;Canyon de Colca;Canyon de Chelly;Canyon d'Antelope;1
Qui était le premier empereur de Chine ?;Qin Shi Huang;Sun Yat-sen;Mao Zedong;Deng Xiaoping;1
Quel est le plus grand mammifère volant ?;Aigle royal;Albatros;Condor;Chauve-souris géante;2
Qui a écrit "Les Misérables" ?;Victor Hugo;Gustave Flaubert;Émile Zola;Honoré de Balzac;1
Quel est le plus grand archipel du monde ?;Indonésie;Philippines;Japon;Nouvelle-Zélande;1
Qui était le premier homme à poser le pied sur la lune ?;Buzz Aldrin;Neil Armstrong;Yuri Gagarin;Michael Collins;2
Quelle est la plus ancienne des sept merveilles du monde antique encore debout aujourd'hui ?;Les Pyramides de Gizeh;Le Colisée;Les Jardins suspendus de Babylone;Le Temple d'Artémis à Éphèse;1
Quel est le plus grand parc national du monde ?;Parc national de Yellowstone;Parc national de Banff;Parc national de Serengeti;Parc national de Yosemite;3
Qui a écrit "Crime et Châtiment" ?;Leo Tolstoï;Fiodor Dostoïevski;Anton Tchekhov;Ivan Tourgueniev;2
Quelle est la plus grande île du monde par sa superficie terrestre ?;Groenland;Australie;Borneo;Groenland;1
Quel est le plus long fleuve d'Europe ?;Le Danube;La Volga;Le Rhin;La Tamise;2
Qui a conçu la statue de la Liberté ?;Gustave Eiffel;Auguste Rodin;Frederic Auguste Bartholdi;Pierre-Auguste Renoir;3
Quelle est la plus grande chaîne de montagnes du monde ?;Himalaya;Andes;Alpes;Montagnes Rocheuses;1
Qui a découvert l'Amérique du Sud ?;Ferdinand Magellan;Christopher Columbus;Amerigo Vespucci;Juan Ponce de León;3
Quelle est la plus grande île d'Asie ?;Sumatra;Bornéo;Java;Honshu;2
Quel est le plus grand animal sur terre ?;Éléphant;Girafe;Baleine bleue;Hippopotame;3
Quelle est la plus haute cascade du monde ?;Angel Falls;Niagara Falls;Victoria Falls;Yosemite Falls;1
Qui a écrit "Le Seigneur des Anneaux" ?;J.K. Rowling;J.R.R. Tolkien;George R.R. Martin;C.S. Lewis;2
Quel est le plus grand océan du monde en termes de profondeur ?;Océan Atlantique;Océan Pacifique;Océan Indien;Océan Arctique;2
Qui était le fondateur du bouddhisme ?;Confucius;Lao Tseu;Siddhartha Gautama;Mahavira;3
Quelle est la plus grande ville du monde en population ?;Tokyo;Delhi;Shanghai;Mumbai;1
Quelle est la plus longue muraille du monde ?;Muraille de Chine;Mur d'Hadrien;Mur d'Antonin;Muraille de Berlin;1
Qui a écrit "Le Petit Chaperon Rouge" ?;Grimm Brothers;Charles Perrault;Hans Christian Andersen;Aesop;2
Quelle est la plus grande île du continent africain ?;Madagascar;Seychelles;Île de la Réunion;Île Maurice;1
Qui a inventé l'ampoule électrique ?;Thomas Edison;Nikola Tesla;Benjamin Franklin;Alexander Graham Bell;1
Quelle est la plus haute tour du monde ?;Burj Khalifa;Shanghai Tower;Abraj Al Bait Clock Tower;One World Trade Center;1
Qui était le célèbre physicien qui a formulé la théorie de la relativité ?;Isaac Newton;Niels Bohr;Albert Einstein;Galileo Galilei;3
Quel est le plus grand lac salé du monde ?;Mer Caspienne;Grand Lac Salé;Lac Baïkal;Lac Tanganyika;2
Qui a écrit "Les Trois Mousquetaires" ?;Victor Hugo;Alexandre Dumas;Gustave Flaubert;Émile Zola;2
Quelle est la plus grande île de la Méditerranée ?;Crète;Sicile;Chypre;Corse;2
Quel est le plus grand carnivore terrestre ?;Lion;Tigre;Ours polaire;Hyène;2
Qui a peint "La Nuit étoilée" ?;Vincent van Gogh;Pablo Picasso;Claude Monet;Edvard Munch;1
Quelle est la plus grande mer du monde ?;Mer de Chine méridionale;Mer des Caraïbes;Mer Méditerranée;Mer de Norvège;1
Qui était le premier empereur romain ?;Julius Caesar;Auguste;Néron;Caligula;2
Quel est le plus grand aéroport du monde en termes de superficie ?;Aéroport de Pékin;Aéroport de Dubaï;Aéroport de King Fahd;Aéroport de Los Angeles;2
Qui a écrit "La Guerre des mondes" ?;Jules Verne;H.G. Wells;Isaac Asimov;Arthur C. Clarke;2
Quelle est la plus grande île du Pacifique ?;Nouvelle-Guinée;Hawaï;Île de Pâques;Île de Bornéo;1
Quel est le plus grand mammifère marin carnivore ?;Orque;Baleine bleue;Requin blanc;Dauphin;1
Qui a fondé Microsoft ?;Steve Jobs;Bill Gates;Mark Zuckerberg;Elon Musk;2
Quel est le plus grand océan en termes de superficie ?;Océan Atlantique;Océan Pacifique;Océan Indien;Océan Arctique;2
Qui était le roi de Macédoine qui a conquis un vaste empire en Asie ?;Alexandre le Grand;Philippe II;Darius III;Cyrus le Grand;1
Quelle est la plus grande île du Canada ?;Île de Vancouver;Terre-Neuve;Île de Baffin;Île de Prince-Édouard;3
Qui a écrit "Le Tour du monde en 80 jours" ?;Jules Verne;H.G. Wells;Arthur Conan Doyle;Agatha Christie;1
Quelle est la plus grande mer fermée du monde ?;Mer Baltique;Mer Noire;Mer Caspienne;Mer Rouge;3
Qui a écrit "Les Fleurs du mal" ?;Victor Hugo;Gustave Flaubert;Charles Baudelaire;Émile Zola;3
Quel est le plus grand parc national des États-Unis ?;Parc national de Yellowstone;Parc national de Grand Teton;Parc national de Denali;Parc national d'Everglades;1
Qui était le président des États-Unis pendant la Guerre froide ?;Dwight D. Eisenhower;John F. Kennedy;Harry S. Truman;Richard Nixon;2
Quelle est la plus grande île du continent antarctique ?;Île de Ross;Île de l'Empereur;Île Alexandre Ier;Île de Charcot;2
Qui a inventé le téléphone ?;Thomas Edison;Alexander Graham Bell;Nikola Tesla;Guglielmo Marconi;2
Quel est le plus grand poisson du monde ?;Requin baleine;Baleine bleue;Mérou géant;Thon rouge;1
Qui a écrit "Le Portrait de Dorian Gray" ?;Oscar Wilde;Emily Brontë;Jane Austen;F. Scott Fitzgerald;1
Quelle est la plus grande forêt tropicale du monde ?;Forêt amazonienne;Forêt du Congo;Forêt indonésienne;Forêt du Bassin du Congo;1
Qui était le fondateur du christianisme ?;Jésus-Christ;Moïse;Bouddha;Mahomet;1
